MacroPlot.Name,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIPN 01,6/5/2024 1:13:07 PM,,,,,,,,,,,,,4,6,6,12,Lalor; Tumicki; Brannfors; Westfahl; Gilmore,Tumicki,,,,Beefalo poop,True,
PIPN 01,6/5/2024 1:13:07 PM,1,1,178,14,2,3,0,PIPN,L of PIPO #99 @23',,,,,,,,,,,,,,,
PIPN 01,6/5/2024 1:13:07 PM,2,2,276,4,4,3,0,PIPN,R of PIPO @17'; @ base of PIPO #2,,,,,,,,,,,,,,,
PIPN 01,6/5/2024 1:13:07 PM,3,3,344,12,1,5,1,PIPN,R of PIPO #75 @10',,,,,,,,,,,,,,,
PIPN 01,6/5/2024 1:13:07 PM,4,4,175,14,2,1,2,PIPN,R of PIPO #85 @30'; L of PIPO @35',,,,,,,,,,,,,,,
PIPN 13,9/11/2024 3:02:58 PM,,,,,,,,,,,,,4,6,6,12,Gilmore,Gilmore,,,,,True,
PIPN 13,9/11/2024 3:02:58 PM,1,1,184,6,2,7,0,PIPN,L of PIPO @ 35',,,,,,,,,,,,,,,
PIPN 13,9/11/2024 3:02:58 PM,2,2,122,12,0,1,1,PIPN,Uphill,,,,,,,,,,,,,,,
PIPN 13,9/11/2024 3:02:58 PM,3,3,45,8,2,7,0,PIPN,L of PIPO @ 9',,,,,,,,,,,,,,,
PIPN 13,9/11/2024 3:02:58 PM,4,4,121,6,0,1,0,PIPN,Toward PUST,,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,,,,,,,,,,,,,4,6,6,12,Tumicki,Brannfors,Beefalo,,,,True,
PIPN 08,9/10/2024 3:01:35 PM,1,1,271,10,0,0,0,PIPN,L of death snag @ 50',,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,2,2,131,1,3,2,0,PIPN,2B at intersection of multiple large DD logs,,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,3,3,247,3,1,2,0,PIPN,3B on Q2-Q3 line @ 19m,,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,4,4,74,1,0,22,7,PIPN,Across Q1-Q2 line @ 1.5m,,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,,,,,,,,,,,,,4,6,6,12,Lalor; Brannfors,Tumicki,Beefalo,,,,True,
PIPN 02,6/5/2024 1:14:48 PM,1,1,4,12,0,2,1,PIPN,Left of ORIGIN and just past DD PIPO log,,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,2,2,218,10,0,0,0,PIPN,Toward Q4,,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,3,3,192,12,1,0,0,PIPN,R of 2A @ 33',,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,4,4,96,5,3,6,0,PIPN,Cross Q2-Q3 tape @ 40.2 m; through ROWO @ 43' & 48',,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,,,,,,,,,,,,,4,6,6,12,Brannfors,Gilmore,Beefalo,,,,True,
PIPN 20,9/10/2024 3:04:26 PM,1,1,342,4,0,15,6,PIPN,R of QUGA patch @ 27',,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,2,2,85,7,0,8,2,PIPN,Through messy log; R of PIPO #94 @ 35',,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,3,3,176,1,1,5,2,PIPN,Cross Q4-Q1 tape @ 26.8m,,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,4,4,102,12,1,1,2,PIPN,@ ORIGIN,,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,,,,,,,,,,,,,4,6,6,12,Tumicki,Gilmore,Beefalo,,,,True,
PIPN 16,8/15/2024 3:10:25 PM,1,1,130,30,0,4,0,PIPN,R of PIPO @ 13'; L of PIPO @ 23',,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,2,2,238,14,0,7,3,PIPN,R of PIPO @ 45',,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,3,3,242,12,0,2,2,PIPN,L of PIPO @ 38'; 3B near Q4-Q1 line @ 18m,,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,4,4,218,8,0,0,1,PIPN,L of PIPO @ 3'; 4B along P1-P2 line @7m,,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,,,,,,,,,,,,,4,6,6,12,Lalor,Gilmore,Beefalo,,,,True,
PIPN 18,8/14/2024 3:12:51 PM,1,1,320,2,10,2,0,PIPN,Btwn PIPO poles @ 47',,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,2,2,228,5,0,1,1,PIPN,Over logs; R of PIPO #70 @ 33',,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,3,3,2,12,2,3,0,PIPN,Under same logs from transect 2; L of PIPO #92 @ 31',,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,4,4,126,12,0,6,2,PIPN,R of big cut stump @ 46',,,,,,,,,,,,,,,
PIPN 09,8/20/2024 3:07:39 PM,,,,,,,,,,,,,4,6,6,12,Westfahl,Brannfors,Beefalo,,,,True,
PIPN 09,8/20/2024 3:07:39 PM,1,1,242,10,0,7,0,PIPN,,,,,,,,,,,,,,,,
PIPN 09,8/20/2024 3:07:39 PM,2,2,35,5,0,2,0,PIPN,R of PIPO @ 30'; L of pole #189 @ 48',,,,,,,,,,,,,,,
PIPN 09,8/20/2024 3:07:39 PM,3,3,322,2,2,6,0,PIPN,,,,,,,,,,,,,,,,
PIPN 09,8/20/2024 3:07:39 PM,4,4,251,3,0,4,1,PIPN,Btwn 2B and pole #189,,,,,,,,,,,,,,,
PIPN 22,8/15/2024 3:16:02 PM,,,,,,,,,,,,,4,6,6,12,Lalor,Brannfors,Beefalo,,,,True,
PIPN 22,8/15/2024 3:16:02 PM,1,1,189,3,3,11,1,PIPN,L of PIPO #74 @16ft; R of PIPO #72 @21ft,,,,,,,,,,,,,,,
PIPN 22,8/15/2024 3:16:02 PM,2,2,66,2,1,10,1,PIPN,Crosses Q4-Q3 transect @19.5m & 33ft; R of PIPO @ 45',,,,,,,,,,,,,,,
PIPN 22,8/15/2024 3:16:02 PM,3,3,256,2,2,5,0,PIPN,R of PIPO @ 16'; L of PIPO @ 35',,,,,,,,,,,,,,,
PIPN 22,8/15/2024 3:16:02 PM,4,4,190,1,0,0,2,PIPN,R of PIPO #57 @ 25',,,,,,,,,,,,,,,
PIPN 15,8/13/2024 3:09:06 PM,,,,,,,,,,,,,4,6,6,12,Lalor; Gilmore,Gilmore,Beefalo,,,,True,
PIPN 15,8/13/2024 3:09:06 PM,1,1,321,30,1,6,1,PIPN,L of PIPO #47 @ 26',,,,,,,,,,,,,,,
PIPN 15,8/13/2024 3:09:06 PM,2,2,288,28,0,2,0,PIPN,R of PIPO #45 @ 18',,,,,,,,,,,,,,,
PIPN 15,8/13/2024 3:09:06 PM,3,3,165,14,1,5,1,PIPN,L of PIPO @ 45',,,,,,,,,,,,,,,
PIPN 15,8/13/2024 3:09:06 PM,4,4,178,10,0,4,0,PIPN,R of PIPO @ 33',,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,,,,,,,,,,,,,4,6,6,12,Brannfors; Gilmore,Gilmore,Beefalo,,,,True,
PIPN 19,8/14/2024 3:13:57 PM,1,1,223,3,2,2,2,PIPN,L of PIPO @ 25'; L of PIPO @ 46',,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,2,2,46,1,0,1,0,PIPN,L of sm. PIPO @ 1'; L of PIPO @ 20'; R of PIPOs @ 42',,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,3,3,188,1,2,2,0,PIPN,Over P2,,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,4,4,162,1,2,3,1,PIPN,R of burnt stump @ 13',,,,,,,,,,,,,,,
PIPN 17,8/14/2024 3:11:36 PM,,,,,,,,,,,,,4,6,6,12,Gilmore; Westfahl,Gilmore,Beefalo,,,,True,
PIPN 17,8/14/2024 3:11:36 PM,1,1,251,4,0,4,0,PIPN,R of Q3 @ 46',,,,,,,,,,,,,,,
PIPN 17,8/14/2024 3:11:36 PM,2,2,306,0,3,12,3,PIPN,R of PIPO @ 11',,,,,,,,,,,,,,,
PIPN 17,8/14/2024 3:11:36 PM,3,3,66,4,1,5,1,PIPN,R of forked PIPO @ 49',,,,,,,,,,,,,,,
PIPN 17,8/14/2024 3:11:36 PM,4,4,210,3,0,0,0,PIPN,L of big blackened snag @ 28',,,,,,,,,,,,,,,
PIPN 21,8/13/2024 3:15:01 PM,,,,,,,,,,,,,4,6,6,12,Brannfors; Westfahl,Gilmore,Beefalo,,,,True,
PIPN 21,8/13/2024 3:15:01 PM,1,1,163,7,3,1,0,PIPN,Cross Q2-Q3 tape @ 7.1m,,,,,,,,,,,,,,,
PIPN 21,8/13/2024 3:15:01 PM,2,2,19,7,3,8,1,PIPN,Cross P1-P2 tape @ 5.3m,,,,,,,,,,,,,,,
PIPN 21,8/13/2024 3:15:01 PM,3,3,279,25,0,0,2,PIPN,Cross P1-P2 tape @ 6.4m,,,,,,,,,,,,,,,
PIPN 21,8/13/2024 3:15:01 PM,4,4,129,20,2,6,2,PIPN,L of PIPO @ 47',,,,,,,,,,,,,,,
PIPN 06,8/13/2024 3:05:45 PM,,,,,,,,,,,,,4,6,6,12,Tumicki; Brannfors,Brannfors,Beefalo,,,,True,
PIPN 06,8/13/2024 3:05:45 PM,1,1,23,3,0,9,1,PIPN,L of PIPO @ 10'; L of PIPO @ 49',,,,,,,,,,,,,,,
PIPN 06,8/13/2024 3:05:45 PM,2,2,119,3,1,2,0,PIPN,Upslope,,,,,,,,,,,,,,,
PIPN 06,8/13/2024 3:05:45 PM,3,3,263,3,0,11,1,PIPN,Toward Q2,,,,,,,,,,,,,,,
PIPN 06,8/13/2024 3:05:45 PM,4,4,348,3,1,6,0,PIPN,L of charred log in RONE,,,,,,,,,,,,,,,
