MacroPlot.Name,Date,Index,Transect,Quadrat,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumQuadTran,QuadLen,QuadWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
PIPO 31,6/16/2024 12:56:58 PM,,,,,,,,,,,,,,1,1,10,25,250,Lalor,Tumicki,,,,,,True,
PIPO 31,6/16/2024 12:56:58 PM,1,1,1,L,,,9,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIPO 31,6/16/2024 12:56:58 PM,2,1,1,L,,,14,0.6,1,,,,,,,,,,,,,,,,PIED,,
PIPO 31,6/16/2024 12:56:58 PM,3,1,1,L,,,1,0.6,1,,,,,,,,,,,,,,,,JUOS,,
PIPO 36,6/15/2024 1:00:20 PM,,,,,,,,,,,,,,1,1,10,25,250,Brannfors; Gilmore,Tumicki,,,,,,True,
PIPO 36,6/15/2024 1:00:20 PM,1,1,1,L,,,3,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIPO 36,6/15/2024 1:00:20 PM,2,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,PIPO,,
PIPO 36,6/15/2024 1:00:20 PM,3,1,1,L,,,41,0.6,1,,,,,,,,,,,,,,,,QUGA,,
PIPO 36,6/15/2024 1:00:20 PM,4,1,1,L,,,19,1,1,,,,,,,,,,,,,,,,QUGA,,
PIPO 30,6/15/2024 12:55:12 PM,,,,,,,,,,,,,,1,1,10,25,250,Tumicki,Tumicki,,,,,,True,
PIPO 30,6/15/2024 12:55:12 PM,1,1,1,L,,,4,0.6,1,,,,,,,,,,,,,,,,JUOS,,
PIPO 30,6/15/2024 12:55:12 PM,2,1,1,L,,,38,0.6,1,,,,,,,,,,,,,,,,PIED,,
PIPO 39,6/16/2024 1:03:37 PM,,,,,,,,,,,,,,1,1,10,25,,Tumicki; Gilmore,Tumicki,,,,,,True,
PIPO 39,6/16/2024 1:03:37 PM,1,1,1,L,,,194,0.6,1,,,,,,,,,,,,,,,,QUGA,,
PIPO 39,6/16/2024 1:03:37 PM,2,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,QUGA,,
PIPO 33,6/14/2024 12:58:42 PM,,,,,,,,,,,,,,1,1,10,25,250,Lalor; Tumicki; Garber,Tumicki,,,,,,True,
PIPO 33,6/14/2024 12:58:42 PM,1,1,1,L,,,4,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIPO 33,6/14/2024 12:58:42 PM,2,1,1,L,,,4,2,1,,,,,,,,,,,,,,,,PIPO,,
PIPO 33,6/14/2024 12:58:42 PM,3,1,1,L,,,4,0.6,1,,,,,,,,,,,,,,,,PIED,,
PIPO 33,6/14/2024 12:58:42 PM,4,1,1,L,,,1,2,1,,,,,,,,,,,,,,,,PIED,,
PIPO 33,6/14/2024 12:58:42 PM,5,1,1,L,,,2,2,1,,,,,,,,,,,,,,,,PIED,,
PIPO 33,6/14/2024 12:58:42 PM,6,1,1,L,,,8,0.6,1,,,,,,,,,,,,,,,,JUOS,,
PIPO 33,6/14/2024 12:58:42 PM,7,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,JUOS,,
PIPO 33,6/14/2024 12:58:42 PM,8,1,1,L,,,7,0.6,1,,,,,,,,,,,,,,,,QUGA,,
PIPO 33,6/14/2024 12:58:42 PM,9,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,QUGA,,
PIPO 29,6/14/2024 12:43:28 PM,,,,,,,,,,,,,,1,1,10,25,250,Tumicki; Brannfors,Tumicki,,,,,,True,
PIPO 29,6/14/2024 12:43:28 PM,1,1,1,L,,,109,0.6,1,,,,,,,,,,,,,,,,QUGA,,
PIPO 29,6/14/2024 12:43:28 PM,2,1,1,L,,,18,1,1,,,,,,,,,,,,,,,,QUGA,,
PIPO 29,6/14/2024 12:43:28 PM,3,1,1,L,,,11,0.6,1,,,,,,,,,,,,,,,,PIED,,
PIPO 29,6/14/2024 12:43:28 PM,4,1,1,L,,,287,0.6,1,,,,,,,,,,,,,,,,PIPO,,
PIPO 37,6/16/2024 1:02:01 PM,,,,,,,,,,,,,,1,1,10,25,250,Lalor; Hillyard,Tumicki,,,,,,True,
PIPO 37,6/16/2024 1:02:01 PM,1,1,1,L,,,2,0.6,1,,,,,,,,,,,,,,,,PIED,,
PIPO 37,6/16/2024 1:02:01 PM,2,1,1,L,,,3,0.6,1,,,,,,,,,,,,,,,,QUGA,,
