MacroPlot.Name,Monitoring.Status,Date,Index,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,MinCovLevel,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species.Symbol,Visited,X
SHOS 01,01Year1,5/4/2000 12:00:00 AM,,,,,,,,,,,,,,,,,,,,True,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,1,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PEPU,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,2,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,LOFO,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,,,,,,,,,,,,,,,,,,,,True,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,1,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,CAXX2,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,2,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ARXX3,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,3,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,FRAL,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,4,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ECCO,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,5,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,CRSE,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,6,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,LOXX2,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,7,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,FXXX,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,8,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ESVI,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,9,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,CHFE,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,10,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,OPXX,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,,,,,,,,,,,,,,,,,,,,True,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,1,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ELEL,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,2,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PEPU,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,3,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,LOFO,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,4,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ECCO,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,5,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,LOWR,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,6,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ESVI,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,7,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,EUXX,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,8,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ASCA,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,,,,,,,,,,,,,,,,,,,,True,
SHOS 01,Pre,4/14/1999 12:00:00 AM,1,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,FRAL,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,2,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PECE,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,3,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,LEIN,,
SHOS 02,01Year1,5/3/2000 12:00:00 AM,,,,,,,,,,,,,,,,,,,,True,
SHOS 02,01Year1,5/3/2000 12:00:00 AM,1,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,LOFO,,
SHOS 02,01Year1,5/3/2000 12:00:00 AM,2,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,CHXX2,,
SHOS 02,01Year1,5/3/2000 12:00:00 AM,3,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PECE,,
SHOS 02,01Year1,5/3/2000 12:00:00 AM,4,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,CHER,,
SHOS 02,01Year1,5/3/2000 12:00:00 AM,5,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PUST,,
SHOS 02,01Year1,5/3/2000 12:00:00 AM,6,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,SPXX,,
SHOS 02,01Year1,5/3/2000 12:00:00 AM,7,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,EUXX,,
SHOS 02,01Year1,5/3/2000 12:00:00 AM,8,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,POFE,,
SHOS 02,01Year1,5/3/2000 12:00:00 AM,9,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,GUSA,,
SHOS 02,01Year1,5/3/2000 12:00:00 AM,10,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,HIFE,,
SHOS 02,01Year2,5/8/2001 12:00:00 AM,,,,,,,,,,,,,,,,,,,,True,
SHOS 02,01Year2,5/8/2001 12:00:00 AM,1,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,FXXX2,,
SHOS 02,01Year2,5/8/2001 12:00:00 AM,2,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,SPPA,,
SHOS 02,01Year2,5/8/2001 12:00:00 AM,3,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,LOFO,,
SHOS 02,01Year2,5/8/2001 12:00:00 AM,4,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,FRAL,,
SHOS 02,01Year2,5/8/2001 12:00:00 AM,5,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PECE,,
SHOS 02,01Year2,5/8/2001 12:00:00 AM,6,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,CHFE,,
SHOS 02,01Year2,5/8/2001 12:00:00 AM,7,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,CHER,,
SHOS 02,01Year5,5/17/2004 12:00:00 AM,,,,,,,,,,,,,,,,,,,,True,
SHOS 02,01Year5,5/17/2004 12:00:00 AM,1,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,SPPA,,
SHOS 02,01Year5,5/17/2004 12:00:00 AM,2,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ELEL,,
SHOS 02,01Year5,5/17/2004 12:00:00 AM,3,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,LOFO,,
SHOS 02,01Year5,5/17/2004 12:00:00 AM,4,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PECE,,
SHOS 02,01Year5,5/17/2004 12:00:00 AM,5,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ARTR,,
SHOS 02,01Year5,5/17/2004 12:00:00 AM,6,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,CHER,,
SHOS 02,01Year5,5/17/2004 12:00:00 AM,7,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,POFE,,
